mode,setting,target,fold,n_train,n_test,RMSE,MAE,R2,opt_l_Molar_Ratio,opt_l_H2SO4_Volume,opt_l_Temperature,opt_l_Time
optimized_hyperparameters,chemistry_informed,FWHM,1,28,8,14.749774711284424,10.94791580342305,-0.9825679422117772,2.2618438695793497,0.6668302757768592,0.32595576829789175,3.8909409317245673
optimized_hyperparameters,chemistry_informed,FWHM,2,29,7,13.927514591266533,10.65347003457189,0.19546237753452123,0.4501395914762912,2.0118393933076915,0.2837151841377177,2.288650262089206
optimized_hyperparameters,chemistry_informed,FWHM,3,29,7,8.81335262123237,7.5523595023455865,0.6090710726291093,0.023988786479748166,100.00000000000004,100.00000000000004,100.00000000000004
optimized_hyperparameters,chemistry_informed,FWHM,4,29,7,13.165884635332876,8.488116782127767,0.06785717808232872,2.0905943387808645,1.4072248261550246,0.2909313330353485,2.240756701961041
optimized_hyperparameters,chemistry_informed,FWHM,5,29,7,13.358830006535346,9.814436203236344,0.44711313745372117,2.8700952743169594,2.750008850231615,0.23375244001152493,0.6050186795119024
optimized_hyperparameters,chemistry_informed,PLQY,1,28,8,0.07532444268218867,0.06013610832836074,-0.8752752858411159,1.7503895283053088,1.127948700253488,0.14014016459376033,2.1415483680578
optimized_hyperparameters,chemistry_informed,PLQY,2,29,7,0.07268044463753175,0.05548610943025907,0.129401086645489,1.7580965637004176,0.3233685149674308,1.1312713389286237,2.1743713462144982
optimized_hyperparameters,chemistry_informed,PLQY,3,29,7,0.03814390557877084,0.02773204534306322,0.1234975759496908,0.12790316556619158,1.7488410838748147,1.684665915459501,9.289155774352482
optimized_hyperparameters,chemistry_informed,PLQY,4,29,7,0.06179541942773015,0.04812366072170977,0.3604751529158374,2.2192816649114944,1.0334577123743973,0.603894256619642,1.3189890873251018
optimized_hyperparameters,chemistry_informed,PLQY,5,29,7,0.06206626510385723,0.05184011853220094,0.1563034658048179,1.9055703435873612,0.7230598020429195,0.028947539997906706,2.090691856598046
optimized_hyperparameters,uniform,FWHM,1,28,8,14.749774711284424,10.94791580342305,-0.9825679422117772,2.2618438695793497,0.6668302757768592,0.32595576829789175,3.8909409317245673
optimized_hyperparameters,uniform,FWHM,2,29,7,13.9275044940293,10.653460359204205,0.19546354408929156,0.45013870228800595,2.011839174127183,0.2837176686981429,2.288657882403459
optimized_hyperparameters,uniform,FWHM,3,29,7,8.81335262123237,7.5523595023455865,0.6090710726291093,0.023988786479748166,100.00000000000004,100.00000000000004,100.00000000000004
optimized_hyperparameters,uniform,FWHM,4,29,7,13.165884629063171,8.488121316001056,0.06785717897011723,2.0905830072433207,1.4072178133581148,0.29093222646839717,2.2407528913719674
optimized_hyperparameters,uniform,FWHM,5,29,7,13.358837312750872,9.814445536360344,0.44711253268344076,2.8700946205446978,2.7500083004728033,0.2337532473494927,0.6050174635910228
optimized_hyperparameters,uniform,PLQY,1,28,8,0.07532457000149417,0.06013607183637715,-0.8752816253224398,1.750407140191008,1.1279551399557024,0.1401411997020959,2.141570652518658
optimized_hyperparameters,uniform,PLQY,2,29,7,0.07268044463753175,0.05548610943025907,0.129401086645489,1.7580965637004176,0.3233685149674308,1.1312713389286237,2.1743713462144982
optimized_hyperparameters,uniform,PLQY,3,29,7,0.03814390557877084,0.02773204534306322,0.1234975759496908,0.12790316556619158,1.7488410838748147,1.684665915459501,9.289155774352482
optimized_hyperparameters,uniform,PLQY,4,29,7,0.06179541942773015,0.04812366072170977,0.3604751529158374,2.2192816649114944,1.0334577123743973,0.603894256619642,1.3189890873251018
optimized_hyperparameters,uniform,PLQY,5,29,7,0.06206626510385723,0.05184011853220094,0.1563034658048179,1.9055703435873612,0.7230598020429195,0.028947539997906706,2.090691856598046
no_optimizer_diagnostic,chemistry_informed,FWHM,1,28,8,11.869343800378713,10.414391799926015,-0.2838394737436525,1.0,1.0,0.5,0.5
no_optimizer_diagnostic,chemistry_informed,FWHM,2,29,7,15.712149447432589,13.369380892607918,-0.02393011449672877,1.0,1.0,0.5,0.5
no_optimizer_diagnostic,chemistry_informed,FWHM,3,29,7,11.57056596969371,8.633656481730204,0.32620975286640586,1.0,1.0,0.5,0.5
no_optimizer_diagnostic,chemistry_informed,FWHM,4,29,7,11.198521022986425,8.583604702082757,0.3256215120707665,1.0,1.0,0.5,0.5
no_optimizer_diagnostic,chemistry_informed,FWHM,5,29,7,14.581448926873456,12.023614864188563,0.34128009689277106,1.0,1.0,0.5,0.5
no_optimizer_diagnostic,chemistry_informed,PLQY,1,28,8,0.046822174926079506,0.03175387495743788,0.275403315898052,1.0,1.0,0.5,0.5
no_optimizer_diagnostic,chemistry_informed,PLQY,2,29,7,0.07011827024874759,0.054243730365727424,0.18970089813543756,1.0,1.0,0.5,0.5
no_optimizer_diagnostic,chemistry_informed,PLQY,3,29,7,0.026846749521532827,0.023724041349183617,0.5658035923973969,1.0,1.0,0.5,0.5
no_optimizer_diagnostic,chemistry_informed,PLQY,4,29,7,0.06218930161009018,0.05309675978750633,0.352296545562069,1.0,1.0,0.5,0.5
no_optimizer_diagnostic,chemistry_informed,PLQY,5,29,7,0.052111069149804574,0.04435926852621964,0.4052492367581383,1.0,1.0,0.5,0.5
no_optimizer_diagnostic,uniform,FWHM,1,28,8,12.66385925911635,10.407201555613312,-0.4614684900215351,1.0,1.0,1.0,1.0
no_optimizer_diagnostic,uniform,FWHM,2,29,7,16.664137509995733,14.80005920571635,-0.15176743428561812,1.0,1.0,1.0,1.0
no_optimizer_diagnostic,uniform,FWHM,3,29,7,12.082039310908279,8.324805164234402,0.2653237446994333,1.0,1.0,1.0,1.0
no_optimizer_diagnostic,uniform,FWHM,4,29,7,13.07235194025533,8.873616577471308,0.08105433744019219,1.0,1.0,1.0,1.0
no_optimizer_diagnostic,uniform,FWHM,5,29,7,12.78844413160471,11.146369187592141,0.4933187365925916,1.0,1.0,1.0,1.0
no_optimizer_diagnostic,uniform,PLQY,1,28,8,0.05087718023305837,0.0427391136111315,0.1444621208600041,1.0,1.0,1.0,1.0
no_optimizer_diagnostic,uniform,PLQY,2,29,7,0.062325106697931336,0.04995538070974343,0.3598097862413243,1.0,1.0,1.0,1.0
no_optimizer_diagnostic,uniform,PLQY,3,29,7,0.026203791904033543,0.023083179320968816,0.5863518485422452,1.0,1.0,1.0,1.0
no_optimizer_diagnostic,uniform,PLQY,4,29,7,0.06207801690854337,0.050805800519787836,0.3546125385834856,1.0,1.0,1.0,1.0
no_optimizer_diagnostic,uniform,PLQY,5,29,7,0.054283670119273084,0.04287067520091773,0.35462305610569445,1.0,1.0,1.0,1.0
